State/Territory,Pop 2000,% pop 2000,Pop 2010,% pop 2010,% growth 2000-2010,%pop 2012,%pop 2015[3]
Alabama,75830,1.7%,185602,3.9%,+144.8%,4.1%,4.2%
Alaska,25852,4.1%,39250,5.5%,+51.8%,6.1%,7.0%
Arizona,1295617,25.3%,1895149,29.6%,+46.3%,30.2%,30.7%
Arkansas,86866,3.2%,186050,6.4%,+114.2%,6.8%,7.2%
California,10966556,32.4%,14013719,37.6%,+27.8%,38.2%,38.8%
Colorado,735801,17.1%,1038687,20.7%,+41.2%,21.0%,21.3%
Connecticut,320323,9.4%,479087,13.4%,+49.6%,14.2%,15.4%
Delaware,37277,4.8%,73221,8.2%,+96.4%,8.6%,9.0%
District of Columbia,44953,7.9%,54749,9.1%,+21.8%,9.9%,10.6%
Florida,2682715,16.8%,4223806,22.5%,+57.4%,23.2%,24.5%
Georgia,435227,5.3%,853689,8.8%,+96.1%,9.2%,9.3%
Hawaii,87699,7.2%,120842,8.9%,+37.8%,9.5%,10.4%
Idaho,101690,7.9%,175901,11.2%,+73.0%,11.6%,12.2%
Illinois,1530262,12.3%,2027578,15.8%,+32.5%,16.3%,16.9%
Indiana,214536,3.5%,389707,6.0%,+81.7%,6.3%,6.7%
Iowa,82473,2.8%,151544,5.0%,+83.7%,5.3%,5.7%
Kansas,188252,7.0%,300042,10.5%,+59.4%,11.0%,11.5%
Kentucky,59939,1.5%,132836,3.1%,+121.6%,3.2%,3.4%
Louisiana,107738,2.4%,192560,4.2%,+78.7%,4.5%,5.0%
Maine,9360,0.7%,16935,1.3%,+80.9%,1.4%,1.6%
Maryland,227916,4.3%,470632,8.2%,+106.5%,8.7%,9.5%
Massachusetts,428729,6.8%,627654,9.6%,+46.4%,10.1%,11.2%
Michigan,323877,3.3%,436358,4.4%,+34.7%,4.6%,4.9%
Minnesota,143382,2.9%,250258,4.7%,+74.5%,4.9%,5.2%
Mississippi,39569,1.4%,81481,2.7%,+105.9%,2.9%,3.1%
Missouri,118592,2.1%,212470,3.5%,+79.2%,3.7%,4.1%
Montana,18081,2.0%,28565,2.9%,+58.0%,3.1%,3.6%
Nebraska,94425,5.5%,167405,9.2%,+77.3%,9.7%,10.4%
Nevada,393970,19.7%,716501,26.5%,+81.9%,27.3%,28.1%
New Hampshire,20489,1.7%,36704,2.8%,+79.1%,3.0%,3.4%
New Jersey,1117191,13.3%,1555144,17.7%,+39.2%,18.5%,19.7%
New Mexico,765386,42.1%,953403,46.3%,+24.6%,47.0%,48.0%
New York,2867583,15.1%,3416922,17.6%,+19.2%,18.2%,18.8%
North Carolina,378963,4.7%,800120,8.4%,+111.1%,8.7%,9.1%
North Dakota,7786,1.2%,13467,2.0%,+73.0%,2.5%,3.5%
Ohio,217123,1.9%,354674,3.1%,+63.4%,3.3%,3.6%
Oklahoma,179304,5.2%,332007,8.9%,+85.2%,9.3%,10.1%
Oregon,275314,8.0%,450062,11.7%,+63.5%,12.2%,12.7%
Pennsylvania,394088,3.2%,719660,5.7%,+82.6%,6.1%,6.8%
Rhode Island,90820,8.7%,130655,12.4%,+43.9%,13.2%,14.4%
South Carolina,95076,2.4%,235682,5.1%,+147.9%,5.3%,5.5%
South Dakota,10903,1.4%,22119,2.7%,+102.9%,3.1%,3.6%
Tennessee,123838,2.2%,290059,4.6%,+134.2%,4.8%,5.2%
Texas,6669666,32.0%,9460921,37.6%,+41.8%,38.2%,38.8%
Utah,201559,9.0%,358340,13.0%,+77.8%,13.3%,13.7%
Vermont,5504,0.9%,9208,1.5%,+67.3%,1.6%,1.8%
Virginia,329540,4.7%,631825,7.9%,+91.7%,8.4%,9.0%
Washington,441509,7.5%,755790,11.2%,+71.2%,11.7%,12.4%
West Virginia,12279,0.7%,22268,1.2%,+81.4%,1.3%,1.5%
Wisconsin,192921,3.6%,336056,5.9%,+74.2%,6.2%,6.6%
Wyoming,31669,6.4%,50231,8.9%,+58.6%,9.5%,9.9%
American Samoa,,,109[4],0.2%,,,
Guam,,,"2,124 [5]",1.4%,,,
Northern Mariana Islands,,,117[6],0.2%,,,
Puerto Rico,3762746,98.8%,3688455,99.0%,+0.2%,99.5%,
U.S. Virgin Islands,15196,14.0%,18514,17.4% [7],,,
United States of America,35305818,12.5%,50477594,16.3%,+43.0%,16.4%,17.1%
